"Component Type","Hostname","IP Address","Virtual Asset","Manufacturer","Model Number","Serial Number","OS/IOS","FW Version","Memory Size","Memory Type","Kernel Version","OS Type","Scan Status"
"Server","webserver01","192.168.1.10","Yes","VMware, Inc.","VMware Virtual Platform","VMware-42 1a 2b 3c","Red Hat Enterprise Linux 8.9 (Ootpa)","6.00","7.6Gi","DDR4","4.18.0-513.el8.x86_64","Linux","Success"
"Server","webserver02","192.168.1.11","Yes","VMware, Inc.","VMware Virtual Platform","VMware-42 2b 3c 4d","Red Hat Enterprise Linux 9.3 (Plow)","6.00","15Gi","DDR4","5.14.0-362.el9.x86_64","Linux","Success"
"Server","dbserver01","192.168.1.20","No","Dell Inc.","PowerEdge R740","ABC123XYZ","Red Hat Enterprise Linux 8.8 (Ootpa)","2.12.0","128Gi","DDR4","4.18.0-477.el8.x86_64","Linux","Success"
"Server","dbserver02","192.168.1.21","No","Dell Inc.","PowerEdge R640","DEF456UVW","Red Hat Enterprise Linux 8.8 (Ootpa)","2.10.0","64Gi","DDR4","4.18.0-477.el8.x86_64","Linux","Success"
"Server","appserver01","192.168.1.30","Yes","Red Hat","KVM","Unknown","CentOS Linux 7 (Core)","1.11.0","8Gi","Unknown","3.10.0-1160.el7.x86_64","Linux","Success"
"Server","sundb01","192.168.1.50","No","Oracle Corporation","SPARC T5-2","1234567890","SunOS 5.11 Oracle Solaris 11.4","Unknown","128 GB","Unknown","11.4.42.111.0","Solaris","Success"
"Server","sundb02","192.168.1.51","No","Oracle Corporation","SPARC M8-4","0987654321","SunOS 5.11 Oracle Solaris 11.4","Unknown","256 GB","Unknown","11.4.42.111.0","Solaris","Success"
"Server","sunapp01","192.168.1.52","Yes","Oracle Corporation","SPARC Virtual Machine","VM-001","SunOS 5.10 Generic_150400-61","Unknown","16 GB","Unknown","Generic_150400-61","Solaris","Success"
"Server","windc01","192.168.1.100","No","Dell Inc.","PowerEdge R740","GHI789RST","Microsoft Windows Server 2019 Datacenter 10.0.17763","2.12.0","32 GB","Unknown","17763","Windows","Success"
"Server","windc02","192.168.1.101","No","Dell Inc.","PowerEdge R640","JKL012MNO","Microsoft Windows Server 2019 Datacenter 10.0.17763","2.10.0","32 GB","Unknown","17763","Windows","Success"
"Server","winfs01","192.168.1.110","Yes","VMware, Inc.","VMware7,1","VMware-56 4d 89 ab","Microsoft Windows Server 2022 Standard 10.0.20348","UEFI","16 GB","Unknown","20348","Windows","Success"
"Server","winsql01","192.168.1.120","No","HP","ProLiant DL380 Gen10","MXQ94506AB","Microsoft Windows Server 2019 Standard 10.0.17763","U30","64 GB","Unknown","17763","Windows","Success"
"Server","unknown01","192.168.1.200","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Linux","Failed: Authentication failed"
"Server","unknown02","192.168.1.201","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Windows","Failed: RPC server unavailable"
